userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
2,MY_TECHNIQUE,ObjectCategory_1_Number_9,0,3.666722,0
2,MY_TECHNIQUE,ObjectCategory_9_Number_17,3.666722,7.94185,0
2,MY_TECHNIQUE,ObjectCategory_4_Number_30,7.94185,11.56384,0
2,MY_TECHNIQUE,ObjectCategory_5_Number_83,11.56384,15.44379,0
2,MY_TECHNIQUE,ObjectCategory_6_Number_48,15.44379,18.64785,0
2,MY_TECHNIQUE,ObjectCategory_4_Number_35,18.64785,24.46908,1
2,MY_TECHNIQUE,ObjectCategory_2_Number_67,24.46908,40.50199,6
2,MY_TECHNIQUE,ObjectCategory_2_Number_27,40.50199,45.57181,0
2,MY_TECHNIQUE,ObjectCategory_5_Number_47,45.57181,51.99654,0
2,MY_TECHNIQUE,ObjectCategory_9_Number_6,51.99654,57.39934,0
2,MY_TECHNIQUE,ObjectCategory_0_Number_61,57.39934,59.43294,0
2,MY_TECHNIQUE,ObjectCategory_3_Number_104,59.43294,68.62723,0
2,MY_TECHNIQUE,ObjectCategory_5_Number_115,68.62723,75.67478,0
2,MY_TECHNIQUE,ObjectCategory_7_Number_72,75.67478,81.6168,1
2,MY_TECHNIQUE,ObjectCategory_5_Number_44,81.6168,86.01532,0
2,MY_TECHNIQUE,ObjectCategory_8_Number_57,86.01532,93.60616,0
2,MY_TECHNIQUE,ObjectCategory_3_Number_104,93.60616,103.0012,1
2,MY_TECHNIQUE,ObjectCategory_2_Number_65,103.0012,107.6298,2
2,MY_TECHNIQUE,ObjectCategory_0_Number_76,107.6298,113.2279,0
2,MY_TECHNIQUE,ObjectCategory_2_Number_65,113.2279,120.8573,2
