userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
1,MY_TECHNIQUE,ObjectCategory_1_Number_9,0,6.339845,0
1,MY_TECHNIQUE,ObjectCategory_9_Number_17,6.339845,10.04195,0
1,MY_TECHNIQUE,ObjectCategory_4_Number_30,10.04195,14.37049,0
1,MY_TECHNIQUE,ObjectCategory_5_Number_83,14.37049,18.86516,0
1,MY_TECHNIQUE,ObjectCategory_6_Number_48,18.86516,26.48242,1
1,MY_TECHNIQUE,ObjectCategory_4_Number_35,26.48242,31.01256,0
1,MY_TECHNIQUE,ObjectCategory_2_Number_67,31.01256,39.28703,1
1,MY_TECHNIQUE,ObjectCategory_2_Number_27,39.28703,43.77637,0
1,MY_TECHNIQUE,ObjectCategory_5_Number_47,43.77637,50.26347,0
1,MY_TECHNIQUE,ObjectCategory_9_Number_6,50.26347,59.29726,1
1,MY_TECHNIQUE,ObjectCategory_0_Number_61,59.29726,64.96193,0
1,MY_TECHNIQUE,ObjectCategory_3_Number_104,64.96193,73.02341,0
1,MY_TECHNIQUE,ObjectCategory_5_Number_115,73.02341,78.2845,0
1,MY_TECHNIQUE,ObjectCategory_7_Number_72,78.2845,89.2989,0
1,MY_TECHNIQUE,ObjectCategory_5_Number_44,89.2989,96.55212,0
1,MY_TECHNIQUE,ObjectCategory_8_Number_57,96.55212,104.1699,0
1,MY_TECHNIQUE,ObjectCategory_3_Number_104,104.1699,111.118,0
1,MY_TECHNIQUE,ObjectCategory_2_Number_65,111.118,113.2756,0
1,MY_TECHNIQUE,ObjectCategory_0_Number_76,113.2756,118.1892,0
1,MY_TECHNIQUE,ObjectCategory_2_Number_65,118.1892,131.8054,0
